City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(Inches),Snow(Inches)
0,Arraial Do Cabo,BR,-22.97,-42.03,73.17,86,0,10.36,clear sky,0.0,0
1,San Patricio,MX,19.22,-104.7,78.62,70,77,1.86,broken clouds,0.0,0
2,Vaini,TO,-21.2,-175.2,77.0,88,75,4.7,broken clouds,0.0,0
3,Mar Del Plata,AR,-38.0,-57.56,53.01,93,100,17.34,overcast clouds,0.0,0
4,Fort Dix,US,40.03,-74.62,68.0,100,1,3.2,clear sky,0.0,0
5,Beyneu,KZ,45.32,55.2,83.25,26,86,15.14,overcast clouds,0.0,0
6,Bredasdorp,ZA,-34.53,20.04,57.2,82,0,5.12,clear sky,0.0,0
7,Upernavik,GL,72.79,-56.15,38.48,77,0,8.08,clear sky,0.0,0
8,Mataura,NZ,-46.19,168.86,39.0,83,1,3.0,clear sky,0.0,0
9,Rikitea,PF,-23.12,-134.97,74.12,81,72,14.58,broken clouds,0.0,0
10,Albany,US,42.6,-73.97,75.0,71,12,2.06,few clouds,0.0,0
11,Turukhansk,RU,65.82,87.98,58.8,45,25,16.87,scattered clouds,0.0,0
12,Hithadhoo,MV,-0.6,73.08,83.8,73,72,10.85,broken clouds,0.0,0
13,Ilhabela,BR,-23.78,-45.36,72.99,66,0,3.69,clear sky,0.0,0
14,Prince Rupert,CA,54.32,-130.32,51.8,81,90,4.7,overcast clouds,0.0,0
15,Cherskiy,RU,68.75,161.3,82.26,25,70,7.92,broken clouds,0.0,0
16,Avarua,CK,-21.21,-159.78,73.4,64,100,10.29,overcast clouds,0.0,0
17,Nantucket,US,41.28,-70.1,63.0,93,90,4.7,mist,0.0,0
18,Benjamin Constant,BR,-4.38,-70.03,75.2,100,4,0.6,clear sky,0.0,0
19,Bereda,ES,43.27,-7.54,62.01,86,84,7.0,broken clouds,0.0,0
20,Yelan-Koleno,RU,51.15,41.23,71.51,72,90,8.46,overcast clouds,0.0,0
21,Nuevitas,CU,21.55,-77.26,78.8,100,73,5.82,broken clouds,0.0,0
22,Port Alfred,ZA,-33.59,26.89,60.01,88,2,4.0,clear sky,0.0,0
23,Karratha,AU,-20.74,116.85,81.59,24,0,18.59,clear sky,0.0,0
24,Luderitz,NA,-26.65,15.16,59.0,54,0,4.7,clear sky,0.0,0
25,Bijie,CN,27.31,105.29,75.72,78,100,5.08,moderate rain,1.22,0
26,Esmeraldas,BR,-19.76,-44.31,62.6,88,0,9.17,clear sky,0.0,0
27,Alofi,NU,-19.06,-169.92,77.0,78,97,11.41,light rain,0.15,0
28,Wajid,SO,3.81,43.25,75.61,66,0,23.67,clear sky,0.0,0
29,Kodiak,US,57.79,-152.41,51.8,81,90,11.41,overcast clouds,0.0,0
30,Dunedin,NZ,-45.87,170.5,46.99,75,92,21.99,overcast clouds,0.0,0
31,Mnogovershinnyy,RU,53.94,139.92,50.54,72,52,8.25,broken clouds,0.0,0
32,Kailua,US,21.4,-157.74,80.6,61,75,11.41,broken clouds,0.0,0
33,Kichera,RU,55.94,110.1,75.22,33,16,2.77,few clouds,0.0,0
34,Kapaa,US,22.08,-159.32,80.6,74,40,16.11,scattered clouds,0.0,0
35,Freeport,US,40.66,-73.58,72.0,88,40,4.7,scattered clouds,0.0,0
36,Trelew,AR,-43.25,-65.31,48.49,65,89,20.02,overcast clouds,0.0,0
37,Punta Arenas,CL,-53.15,-70.92,32.0,87,100,4.7,overcast clouds,0.0,0
38,Atuona,PF,-9.8,-139.03,80.22,64,0,10.96,clear sky,0.0,0
39,Yulara,AU,-25.24,130.99,62.6,25,0,5.82,clear sky,0.0,0
40,Cape Town,ZA,-33.93,18.42,60.01,87,40,13.87,scattered clouds,0.0,0
41,Luba,GQ,3.46,8.55,78.8,100,40,8.05,scattered clouds,0.0,0
42,Muli,MV,2.92,73.57,83.66,76,95,11.5,overcast clouds,0.0,0
43,Ushuaia,AR,-54.8,-68.3,37.4,91,75,3.56,broken clouds,0.0,0
44,Tuatapere,NZ,-46.13,167.68,39.0,83,2,3.0,clear sky,0.0,0
45,Thompson,CA,55.74,-97.86,50.0,93,75,8.05,broken clouds,0.0,0
46,Constitucion,CL,-35.33,-72.42,51.19,86,8,4.25,clear sky,0.0,0
47,Itoman,JP,26.12,127.67,87.8,84,75,13.87,broken clouds,0.0,0
48,Shihezi,CN,44.3,86.03,70.2,30,46,3.51,scattered clouds,0.0,0
49,Yellowknife,CA,62.46,-114.35,69.8,32,20,12.75,few clouds,0.0,0
50,Moose Factory,CA,51.26,-80.61,50.0,93,90,2.24,overcast clouds,0.0,0
51,Roxas,PH,11.59,122.75,86.63,73,84,9.55,moderate rain,1.47,0
52,Bairiki,KI,1.33,172.98,86.0,70,20,8.05,few clouds,0.0,0
53,Lasa,IT,46.62,10.7,51.01,81,75,6.93,broken clouds,0.0,0
54,Turkmenabat,TM,39.07,63.58,84.2,26,0,9.17,clear sky,0.0,0
55,Copiapo,CL,-27.37,-70.33,53.6,93,90,2.24,mist,0.0,0
56,The Valley,AI,18.22,-63.06,84.2,79,20,14.99,few clouds,0.0,0
57,Coihaique,CL,-45.58,-72.07,39.2,86,90,3.36,light rain,0.0,0
58,Butaritari,KI,3.07,172.79,83.8,76,68,12.57,broken clouds,0.0,0
59,Faanui,PF,-16.48,-151.75,78.39,85,100,18.95,light rain,0.29,0
60,Hilo,US,19.73,-155.09,78.8,65,90,5.82,overcast clouds,0.0,0
61,Georgetown,MY,5.41,100.34,89.6,62,40,6.93,scattered clouds,0.0,0
62,Hermanus,ZA,-34.42,19.23,57.0,94,12,8.01,few clouds,0.0,0
63,Muzhi,RU,65.37,64.67,51.49,71,86,20.29,overcast clouds,0.0,0
64,Busselton,AU,-33.65,115.33,62.01,43,0,6.15,clear sky,0.0,0
65,Jamestown,US,42.1,-79.24,66.2,88,1,4.81,clear sky,0.0,0
