City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
25,Bijie,CN,75.72,moderate rain,27.31,105.29,Four Points by Sheraton Bijie
27,Alofi,NU,77.0,light rain,-19.06,-169.92,Taloa Heights
51,Roxas,PH,86.63,moderate rain,11.59,122.75,Urban Manor
59,Faanui,PF,78.39,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Lorengau,PG,84.47,light rain,-2.02,147.27,Lorengau Harbourside Hotel
174,Motygino,RU,76.91,light rain,58.18,94.76,"Gostinitsa ""Uyut"""
177,Ixtapa,MX,77.11,light rain,20.7,-105.2,Container Inn Puerto Vallarta
182,Bacolod,PH,88.11,moderate rain,10.67,122.95,Planta Hotel & Residences
228,Tabou,CI,76.35,light rain,4.42,-7.35,hotêl doufoulougou
237,Road Town,VG,82.99,light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
241,Coahuayana,MX,77.14,light rain,18.73,-103.68,Hotel Los Arcos
246,Ipixuna,BR,77.0,light rain,-1.76,-48.8,Casa da Oscarina
247,Acarau,BR,76.84,light rain,-2.89,-40.12,castelo pizzaria
255,Sinnamary,GF,78.15,moderate rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
257,Akyab,MM,85.12,moderate rain,20.15,92.9,Hotel Memory
259,Tura,IN,87.1,light rain,25.52,90.22,Hotel RIKMAN Continental
273,Sarangani,PH,83.84,light rain,5.4,125.46,Ballistic Islet
276,Namatanai,PG,84.15,moderate rain,-3.67,152.43,Namatanai Hotel
277,Ganzhou,CN,89.1,light rain,28.82,115.43,Gold Jiao Hotel
305,Bonthe,SL,77.49,light rain,7.53,-12.51,Bonthe Holiday Village
312,Valle De Banderas,MX,76.57,light rain,20.8,-105.23,Rancho los Nietos
316,Sungaipenuh,ID,76.3,moderate rain,-2.08,101.38,Hotel Jaya Wisata 2
336,Cabedelo,BR,76.5,light rain,-6.98,-34.83,Lua Mansa Pousada
338,Kavieng,PG,84.74,light rain,-2.57,150.8,Nusa Island Retreat
339,Netarhat,IN,80.78,moderate rain,23.48,84.27,Hotel Prakash
348,Itarema,BR,76.39,light rain,-2.92,-39.92,Windvillage
389,Sorong,ID,83.8,moderate rain,-0.88,131.25,The Waigo Hotel
398,Gorontalo,ID,84.18,moderate rain,0.54,123.06,Maqna Hotel by Prasanthi
401,Kendari,ID,81.36,moderate rain,-3.94,122.5,Hotel Wixel
437,Kieta,PG,83.14,light rain,-6.22,155.63,
450,Bocos,PH,77.83,moderate rain,16.93,121.06,Rice Homestay
476,Payakumbuh,ID,85.73,light rain,-0.22,100.63,OYO 3114 Homestay Dalimo
483,Bubaque,GW,81.25,light rain,11.28,-15.83,Casa Dora
492,Mitsamiouli,KM,76.39,light rain,-11.38,43.28,Foyer ADM
519,Tamandare,BR,76.06,light rain,-8.76,-35.1,Pousada 100 Passos
541,Tecoanapa,MX,80.98,moderate rain,16.52,-98.75,Hotel Manglares
544,Axim,GH,76.57,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
557,Jiaojiang,CN,75.99,moderate rain,28.68,121.44,Fangyuan Hotel
568,Pochutla,MX,80.01,light rain,15.74,-96.47,Hotel Posada San Jose
